Date,Open Price,Close Price,High Price,Low Price,Volume
13-Mar-2009,3756.73,3753.68,3816.02,3737.88,1385426176
16-Mar-2009,3784.16,3863.99,3863.99,3784.16,1222809216
17-Mar-2009,3850.60,3857.10,3860.80,3793.13,1212702720
18-Mar-2009,3871.27,3804.99,3901.65,3768.50,1284340224
19-Mar-2009,3812.02,3816.93,3912.64,3793.70,2579357952
20-Mar-2009,3794.24,3842.85,3854.87,3777.73,2170118144
23-Mar-2009,3881.71,3952.81,3978.60,3844.01,1520402432
24-Mar-2009,3979.76,3911.46,3992.42,3878.42,1513177600
25-Mar-2009,3895.61,3900.25,3939.16,3852.96,1408409856
26-Mar-2009,3909.63,3925.20,3929.54,3877.79,1540981248
27-Mar-2009,3924.74,3898.85,3950.32,3877.55,1613253248
30-Mar-2009,3876.76,3762.91,3876.76,3762.91,1306764800
31-Mar-2009,3782.90,3926.14,3930.62,3782.90,1582078848
01-Apr-2009,3922.88,3955.61,3972.68,3838.22,1365246720
02-Apr-2009,3990.01,4124.97,4137.85,3990.01,1716491904
03-Apr-2009,4110.66,4029.67,4132.93,4015.59,1454940416
06-Apr-2009,4052.86,3993.54,4097.17,3959.60,1280125696
07-Apr-2009,4003.36,3930.52,4039.52,3909.88,1163285888
08-Apr-2009,3903.81,3925.52,3940.42,3876.11,1142928128
09-Apr-2009,3945.26,3983.71,3986.28,3911.99,1178195200
14-Apr-2009,3991.46,3988.99,4039.67,3939.61,1480794624
15-Apr-2009,3980.24,3968.40,4023.35,3941.61,1285957120
16-Apr-2009,3987.85,4052.98,4052.98,3963.57,1317680000
17-Apr-2009,4060.47,4092.80,4114.32,4043.21,1659766912
20-Apr-2009,4088.33,3990.86,4112.75,3962.87,1345950848
21-Apr-2009,3993.92,3987.46,4019.16,3897.25,1597626240
22-Apr-2009,3987.99,4030.66,4036.03,3948.22,1357767808
23-Apr-2009,4024.83,4018.23,4082.31,3999.06,1152052992
24-Apr-2009,4036.43,4155.99,4155.99,4036.43,1323836544
27-Apr-2009,4133.24,4167.01,4179.17,4088.67,1013572672
28-Apr-2009,4124.74,4096.40,4124.74,4058.73,1025206336
29-Apr-2009,4105.53,4189.59,4193.32,4089.46,1234082560
30-Apr-2009,4203.86,4243.71,4293.63,4203.86,1572958336
01-May-2009,4238.02,4243.22,4251.57,4210.75,623623424
05-May-2009,4271.18,4336.94,4375.35,4271.18,1603910400
06-May-2009,4337.66,4396.49,4437.61,4317.05,1531298816
07-May-2009,4408.75,4398.68,4520.82,4380.27,2264600064
08-May-2009,4413.65,4462.09,4487.50,4413.65,1457665408
11-May-2009,4462.70,4435.50,4470.05,4401.52,1259508992
12-May-2009,4422.75,4425.54,4457.46,4397.41,1294610688
13-May-2009,4430.53,4331.37,4447.96,4328.17,1555741440
14-May-2009,4326.10,4362.58,4371.28,4295.19,1203890688
15-May-2009,4384.89,4348.11,4400.72,4317.23,1089903744
18-May-2009,4331.62,4446.45,4446.45,4307.72,1054330432
19-May-2009,4467.51,4482.25,4512.70,4445.48,1531188608
20-May-2009,4473.49,4468.41,4504.20,4445.09,1429899136
21-May-2009,4439.37,4345.47,4439.37,4325.77,1294968832
22-May-2009,4347.30,4365.29,4393.07,4335.01,1048707712
26-May-2009,4353.49,4411.72,4423.64,4294.98,1025528512
27-May-2009,4426.78,4416.23,4439.79,4390.23,958715712
28-May-2009,4384.99,4387.54,4408.64,4341.08,940861312
29-May-2009,4415.18,4417.94,4469.43,4415.18,1163603072
01-Jun-2009,4459.82,4506.19,4517.60,4459.82,986724544
02-Jun-2009,4494.90,4477.02,4494.90,4435.92,1425877504
03-Jun-2009,4477.18,4383.42,4477.18,4359.33,1247347584
04-Jun-2009,4389.38,4386.94,4436.25,4359.66,1049177152
05-Jun-2009,4399.35,4438.56,4495.94,4399.35,1296664960
08-Jun-2009,4436.61,4405.22,4436.61,4370.55,1450885760
09-Jun-2009,4419.75,4404.79,4445.54,4387.34,1079972608
10-Jun-2009,4432.20,4436.75,4505.89,4422.84,1272923904
11-Jun-2009,4431.79,4461.87,4478.42,4409.15,1110329088
12-Jun-2009,4461.17,4441.95,4471.95,4427.24,1045648896
15-Jun-2009,4427.19,4326.01,4427.19,4319.79,1029623936
16-Jun-2009,4329.72,4328.57,4372.85,4321.56,1248385408
17-Jun-2009,4317.15,4278.46,4328.69,4254.62,1202888960
18-Jun-2009,4284.09,4280.86,4305.43,4239.74,1271931776
19-Jun-2009,4291.57,4345.93,4370.26,4279.85,2021807360
22-Jun-2009,4343.85,4234.05,4343.85,4234.05,1198138368
23-Jun-2009,4224.33,4230.02,4264.00,4214.88,1118121600
24-Jun-2009,4238.26,4279.98,4293.00,4218.39,1174006272
25-Jun-2009,4276.91,4252.57,4290.36,4213.40,1132103552
26-Jun-2009,4264.60,4241.01,4307.16,4216.46,943518336
29-Jun-2009,4238.93,4294.03,4303.55,4235.19,1161686528
30-Jun-2009,4301.77,4249.21,4311.23,4230.63,1343042432
01-Jul-2009,4255.23,4340.71,4353.03,4255.23,1245463296
02-Jul-2009,4332.55,4234.27,4332.55,4230.76,1315372928
03-Jul-2009,4238.22,4236.28,4264.81,4221.19,935495168
06-Jul-2009,4221.42,4194.91,4221.42,4172.33,901008576
